,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
147,1990,58,PIT,NFL,16,9,7,0,0.563,1.6,-3.4,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
148,1991,59,PIT,NFL,16,7,9,0,0.438,-2.9,-0.8,-2.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,NollCh0
149,1981,37,DEN,NFL,16,10,6,0,0.625,1.3,-1.6,2.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ReevDa0
150,1982,38,DEN,NFL,9,2,7,0,0.222,-9.7,-6.0,-3.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,ReevDa0
151,1983,39,DEN,NFL,16,9,7,0,0.563,-2.8,-4.1,1.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0,ReevDa0
152,1984,40,DEN,NFL,16,13,3,0,0.813,7.7,1.0,6.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,ReevDa0
153,1985,41,DEN,NFL,16,11,5,0,0.688,3.6,1.8,1.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ReevDa0
154,1986,42,DEN,NFL,16,11,5,0,0.688,5.2,3.4,1.8,3.0,2.0,1.0,0.667,1.0,0.0,0.0,AFC Champions,ReevDa0
155,1987,43,DEN,NFL,15,10,4,1,0.7,4.1,3.2,0.9,3.0,2.0,1.0,0.667,1.0,0.0,0.0,AFC Champions,ReevDa0
156,1988,44,DEN,NFL,16,8,8,0,0.5,-3.3,0.1,-3.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ReevDa0
157,1989,45,DEN,NFL,16,11,5,0,0.688,9.3,3.7,5.7,3.0,2.0,1.0,0.667,1.0,0.0,0.0,AFC Champions,ReevDa0
158,1990,46,DEN,NFL,16,5,11,0,0.313,-0.8,2.1,-2.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,ReevDa0
159,1991,47,DEN,NFL,16,12,4,0,0.75,3.4,0.3,3.1,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ReevDa0
160,1992,48,DEN,NFL,16,8,8,0,0.5,-3.4,-1.4,-1.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ReevDa0
161,1993,49,NYG,NFL,16,11,5,0,0.688,4.6,-0.8,5.4,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,ReevDa0
162,1994,50,NYG,NFL,16,9,7,0,0.563,-1.7,-2.7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ReevDa0
163,1995,51,NYG,NFL,16,5,11,0,0.313,-1.5,-2.6,1.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,ReevDa0
164,1996,52,NYG,NFL,16,6,10,0,0.375,-4.1,-5.7,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,ReevDa0
165,1997,53,ATL,NFL,16,7,9,0,0.438,-4.2,-1.2,-2.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ReevDa0
166,1998,54,ATL,NFL,16,14,2,0,0.875,10.0,7.0,3.0,3.0,2.0,1.0,0.667,1.0,0.0,0.0,NFC Champions,ReevDa0
167,1999,55,ATL,NFL,16,5,11,0,0.313,-7.1,-4.0,-3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0,ReevDa0
168,2000,56,ATL,NFL,16,4,12,0,0.25,-8.6,-5.7,-2.9,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0,ReevDa0
169,2001,57,ATL,NFL,16,7,9,0,0.438,-4.7,-2.7,-2.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0,ReevDa0
170,2002,58,ATL,NFL,16,9,6,1,0.594,5.1,3.5,1.5,2.0,1.0,1.0,0.5,2.0,0.0,9.0,0,ReevDa0
171,2003,59,ATL,NFL,13,3,10,0,0.231,-7.4,-2.0,-5.4,0.0,0.0,0.0,0.0,4.0,0.0,2.0,Fired after week 14,ReevDa0
